"ID","Date","Home","Away","Team","Player","MINS","POSS","FGM","FGA","FG.","TPM","TPA","TP.","FTM","FTA","FT.","RIMM","RIMA","RIM.","MIDM","MIDA","MID.","TS.","eFG.","PBACKM","PBACKA","PBACK.","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","GS"
"4987520","01/02/2021","North Carolina","Notre Dame","North Carolina","LEAKY.BLACK",30.933,49,3,7,0.429,1,2,0.5,1,1,1,0,0,0,2,5,0.4,0.535,0.5,0,0,0,3,1,3,0,0,0,2,8,8
"4987520","01/02/2021","North Carolina","Notre Dame","North Carolina","PUFF.JOHNSON",9.067,15,1,2,0.5,0,1,0,0,0,0,1,1,1,0,0,0,0.5,0.5,1,1,1,1,1,0,1,1,0,0,2,3.7
"4987520","01/02/2021","North Carolina","Notre Dame","North Carolina","RJ.DAVIS",22.816,35,1,6,0.167,1,6,0.167,0,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,3,2,0,0,2,0,3,-0.5
"4987520","01/02/2021","North Carolina","Notre Dame","North Carolina","WALKER.KESSLER",5.25,8,1,4,0.25,0,0,0,0,0,0,1,3,0.333,0,1,0,0.25,0.25,0,0,0,1,1,0,0,1,1,1,2,-0.1
"4987960","01/05/2021","Miami (FL)","North Carolina","North Carolina","ANDREW.PLATEK",20.65,39,3,6,0.5,1,3,0.333,0,0,0,2,3,0.667,0,0,0,0.583,0.583,0,1,0,1,0,1,1,0,1,2,7,4.6
"4987960","01/05/2021","Miami (FL)","North Carolina","North Carolina","ARMANDO.BACOT",20.517,39,1,3,0.333,0,0,0,5,5,1,1,3,0.333,0,0,0,0.651,0.333,0,0,0,0,2,0,0,0,1,3,7,3.7
"4987960","01/05/2021","Miami (FL)","North Carolina","North Carolina","CALEB.LOVE",28.117,54,1,9,0.111,1,3,0.333,0,0,0,0,1,0,0,5,0,0.167,0.167,0,0,0,0,4,4,1,0,4,3,3,-3.1
"4987960","01/05/2021","Miami (FL)","North Carolina","North Carolina","DAYRON.SHARPE",26.467,52,4,12,0.333,0,0,0,4,5,0.8,3,9,0.333,1,3,0.333,0.417,0.333,1,2,0.5,7,9,0,2,1,3,3,12,10.9
"4987960","01/05/2021","Miami (FL)","North Carolina","North Carolina","GARRISON.BROOKS",25.617,49,1,7,0.143,0,0,0,4,6,0.667,1,4,0.25,0,3,0,0.305,0.143,0,1,0,3,4,1,2,3,2,4,6,5.2
"4987960","01/05/2021","Miami (FL)","North Carolina","North Carolina","KERWIN.WALTON",20.95,42,4,8,0.5,3,7,0.429,2,2,1,1,1,1,0,0,0,0.726,0.688,0,0,0,0,1,4,1,1,3,2,13,10
"4987960","01/05/2021","Miami (FL)","North Carolina","North Carolina","LEAKY.BLACK",34.35,67,6,9,0.667,4,4,1,0,2,0,1,1,1,1,4,0.25,0.804,0.889,0,0,0,2,7,3,2,1,2,3,16,16.4
"4987960","01/05/2021","Miami (FL)","North Carolina","North Carolina","PUFF.JOHNSON",3.766,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.4
"4987960","01/05/2021","Miami (FL)","North Carolina","North Carolina","RJ.DAVIS",14.317,28,1,5,0.2,0,2,0,0,0,0,0,0,0,1,3,0.333,0.2,0.2,0,0,0,0,0,0,0,0,3,2,2,-4.9
"4987960","01/05/2021","Miami (FL)","North Carolina","North Carolina","WALKER.KESSLER",5.083,9,0,1,0,0,0,0,1,2,0.5,0,1,0,0,0,0,0.256,0,0,0,0,0,2,0,0,0,1,1,1,-0.9
"4989289","01/12/2021","North Carolina","Syracuse","North Carolina","ANDREW.PLATEK",19.75,36,3,5,0.6,1,3,0.333,0,0,0,2,2,1,0,0,0,0.7,0.7,1,1,1,3,0,2,0,0,0,3,7,7
